countyname,statecode,Number of All Beds,Total Number of Occupied Beds,countyFIPS
Columbia,WI,73.2,50.588235294117645,55021
Columbiana,OH,79.65775401069519,56.31550802139037,39029
Columbus,NC,97.6078431372549,57.509803921568626,37047
Colusa,CA,99.0,83.37254901960785,6011
Comal,TX,140.11513157894737,95.63157894736842,48091
Comanche,KS,36.0,30.61764705882353,20033
Comanche,OK,122.0,81.48039215686275,40031
Comanche,TX,127.4,49.98,48093
Concho,TX,82.0,45.372549019607845,48095
Concordia,LA,105.5,48.970588235294116,22029
Conecuh,AL,61.0,52.6078431372549,1035
Conejos,CO,60.0,41.294117647058826,8021
Contra,CA,97.80730223123732,74.9263015551048,6013
Converse,WY,60.0,44.568627450980394,56009
Conway,AR,103.0,49.26470588235294,5029
Cook,GA,95.0,91.03921568627452,13075
Cook,IL,163.6245108332538,111.08949416342412,17031
Cooke,TX,93.20588235294117,50.02450980392157,48097
Cooper,MO,67.0,45.34803921568628,29053
Coos,NH,84.01574803149606,65.10629921259843,33007
Coos,OR,49.74324324324324,35.70945945945946,41011
Coosa,AL,72.0,55.31372549019608,1037
Copiah,MS,60.0,45.431372549019606,28029
Cortland,NY,130.8235294117647,99.45098039215686,36023
Coryell,TX,109.70443349753694,77.45320197044335,48099
Coshocton,OH,75.75816993464052,52.22875816993464,39031
Cotton,OK,49.450980392156865,34.94117647058823,40033
Cottonwood,MN,52.61437908496732,41.26797385620915,27033
Covington,AL,144.5686274509804,100.98039215686275,1039
Covington,MS,60.0,51.529411764705884,28031
Coweta,GA,85.33333333333333,56.62091503267974,13077
Cowley,KS,64.31372549019608,43.69934640522876,20035
Cowlitz,WA,82.25,56.0,53015
Craig,OK,144.0,67.96078431372548,40035
Craighead,AR,110.58032786885246,76.74426229508197,5031
Crane,TX,80.0,59.1578947368421,48103
Craven,NC,94.6,76.81960784313725,37049
Crawford,WI,57.0,47.970588235294116,55023
Crawford,OH,60.867986798679866,45.165016501650165,39033
Crawford,MO,74.0,49.41830065359477,29055
Crawford,MI,55.5,37.431372549019606,26039
Crawford,KS,62.833333333333336,43.970588235294116,20037
Crawford,PA,138.33333333333334,102.08169934640523,42039
Crawford,IL,61.0,41.745098039215684,17033
Crawford,IA,62.0,40.6797385620915,19047
Crawford,GA,100.0,73.70588235294117,13079
Crawford,AR,113.5,80.38235294117646,5033
Crawford,IN,62.0,49.23529411764706,18025
Creek,OK,96.75,49.75735294117647,40037
Crenshaw,AL,148.5686274509804,122.88235294117646,1041
Crisp,GA,95.5,53.970588235294116,13081
Crittenden,AR,104.359477124183,71.54248366013071,5035
Crittenden,KY,106.05882352941177,65.52941176470588,21055
Crockett,TN,120.5,76.19607843137256,47033
Crockett,TX,56.0,25.15686274509804,48105
Crook,WY,32.0,26.215686274509803,56011
Crook,OR,38.0,27.6734693877551,41013
Crosby,TX,49.5,24.0,48107
Cross,AR,100.0,47.78431372549019,5037
Crow,MN,72.31372549019608,49.05882352941177,27035
Crowley,CO,37.0,27.568627450980394,8025
Cullman,AL,118.6,91.53725490196078,1043
Culpeper,VA,113.5,100.90196078431373,51047
Cumberland,TN,100.25,62.82843137254902,47035
Cumberland,NJ,199.10491803278688,147.8065573770492,34011
Cumberland,NC,108.08043875685557,73.10786106032907,37051
Cumberland,PA,127.20942408376963,93.43979057591623,42041
Cumberland,KY,84.0,71.2156862745098,21057
Cumberland,IL,58.42156862745098,48.166666666666664,17035
Cumberland,ME,95.0185387131952,75.55834242093785,23005
Cuming,NE,42.05263157894737,31.486842105263158,31039
Curry,NM,88.0,57.98039215686274,35009
Curry,OR,59.0,22.980392156862745,41015
Custer,SD,61.0,41.705882352941174,46033
Custer,MT,66.0,38.09803921568628,30017
Custer,NE,47.5,37.6764705882353,31041
Custer,OK,93.86,53.17333333333333,40039
Cuyahoga,OH,115.57353846153846,81.2758761206194,39035
Dade,MO,90.81818181818181,54.81818181818182,29057
Dade,GA,71.0,46.745098039215684,13083
Dakota,MN,100.66666666666667,73.08496732026144,27037
Dakota,NE,62.333333333333336,40.07843137254902,31043
Dale,AL,142.59803921568627,110.13725490196079,1045
Dallam,TX,54.0,48.86274509803921,48111
Dallas,TX,131.00998606595448,70.70499419279908,48113
Dallas,AL,112.78523489932886,80.7248322147651,1047
Dallas,AR,126.0,51.0,5039
Dallas,IA,57.19083969465649,41.37913486005089,19049
Dallas,MO,93.65686274509804,66.11764705882354,29059
Dane,WI,74.45573770491804,53.84808743169399,55025
Danville,VA,168.0,121.78921568627452,51590
Dare,NC,126.0,74.56862745098039,37055
Darke,OH,82.75577557755776,54.954098360655735,39037
Darlington,SC,104.5,81.32843137254902,45031
Dauphin,PA,161.125,130.0735294117647,42043
Davidson,NC,100.98474945533769,74.13071895424837,37057
Davidson,TN,130.28721374045801,88.21660305343511,47037
Davie,NC,84.80392156862744,63.92156862745098,37059
Daviess,KY,96.17927170868347,72.33053221288516,21059
Daviess,IN,73.76450511945393,40.43934426229508,18027
Daviess,MO,97.0,38.431372549019606,29061
Davis,UT,84.76470588235294,52.411764705882355,49011
Davis,IA,61.5,39.23529411764706,19051
Davison,SD,109.5,81.04901960784314,46035
Dawes,NE,35.5,25.38235294117647,31045
Dawson,MT,58.0,44.40196078431372,30021
Dawson,NE,65.66666666666667,38.38562091503268,31047
Dawson,TX,80.0,33.21568627450981,48115
Day,SD,41.0328947368421,35.651315789473685,46037
De,LA,117.5,56.27450980392157,22031
De,IL,94.95098039215686,63.61764705882353,17039
DeKalb,TN,111.0,87.50980392156863,47041
DeKalb,MO,60.0,43.11764705882353,29063
DeKalb,IN,99.12048192771084,69.37254901960785,18033
DeKalb,IL,104.09014084507042,69.12957746478874,17037
DeKalb,GA,136.64558342420938,101.02617230098146,13089
DeKalb,AL,155.281045751634,120.0,1049
DeSoto,FL,78.0,37.6078431372549,12027
DeSoto,MS,106.66666666666667,81.34640522875817,28033
DeWitt,TX,101.5,53.73039215686274,48123
Deaf,TX,120.0,54.145833333333336,48117
Dearborn,IN,88.0,59.19211822660098,18029
Decatur,TN,107.5,65.19607843137256,47039
Decatur,KS,45.0,38.490196078431374,20039
Decatur,IN,69.5179282868526,45.015810276679844,18031
Decatur,IA,49.0,34.61764705882353,19053
Decatur,GA,103.39393939393939,79.96969696969697,13087
Deer,MT,62.0,15.117647058823529,30023
Defiance,OH,86.93333333333334,57.23529411764706,39039
Del,CA,98.72549019607843,63.96078431372549,6015
Delaware,OK,100.2,51.627450980392155,40041
Delaware,OH,71.98583569405099,55.53541076487252,39041
Delaware,PA,141.86062246278755,93.85182679296346,42045
Delaware,IN,89.1271056661562,59.57878787878788,18035
Delaware,IA,133.0,95.58,19055
Delaware,NY,126.37333333333333,100.19333333333333,36025
Delta,CO,61.666666666666664,43.06535947712418,8029
Delta,MI,79.66666666666667,57.04575163398693,26041
Delta,TX,100.0,49.490196078431374,48119
Dent,MO,58.375,33.298611111111114,29065
Denton,TX,112.08158765159868,64.01653803748621,48121
Denver,CO,94.84333958724203,69.14727954971858,8031
Des,IA,73.76126126126127,50.28378378378378,19057
Deschutes,OR,46.0,32.259803921568626,41017
Desha,AR,120.0,39.09803921568628,5041
Deuel,SD,40.0,34.76470588235294,46039
Dewey,OK,50.0,31.098039215686274,40043
Dickenson,VA,100.0,79.50980392156863,51051
Dickey,ND,56.0,44.59803921568628,38021
Dickinson,IA,60.333333333333336,39.07843137254902,19059
Dickinson,KS,49.87684729064039,37.7192118226601,20041
Dickinson,MI,76.0,47.38235294117647,26043
Dickson,TN,126.61764705882354,107.34313725490196,47043
Dillon,SC,97.5,73.58823529411765,45033
Dimmit,TX,60.0,38.666666666666664,48127
District,DC,138.97424892703862,105.99678111587983,11001
Dixon,NE,46.5,27.362745098039216,31051
Dodge,GA,100.0,84.18627450980392,13091
Dodge,MN,50.0,34.911764705882355,27039
Dodge,NE,71.91764705882353,50.266666666666666,31053
Dodge,WI,96.39,63.548,55027
Dona,NM,85.4950495049505,55.62376237623762,35013
Doniphan,KS,52.084210526315786,33.21052631578947,20043
Donley,TX,60.0,51.549019607843135,48129
Dooly,GA,102.0,70.77551020408163,13093
Door,WI,66.66666666666667,40.90196078431372,55029
Dorchester,SC,88.0,74.16748768472907,45035
Dorchester,MD,116.31683168316832,82.97029702970298,24019
Dougherty,GA,218.0,145.68627450980392,13095
Douglas,OR,92.07843137254902,56.8235294117647,41019
Douglas,WI,91.5,63.17156862745098,55031
Douglas,SD,47.5,36.07843137254902,46043
Douglas,NE,121.04,78.69725490196079,31055
Douglas,MO,120.0,74.19607843137256,29067
Douglas,NV,60.0,43.333333333333336,32005
Douglas,KS,67.83333333333333,40.88562091503268,20045
Douglas,IL,71.55882352941177,47.083333333333336,17041
Douglas,GA,246.0,201.1764705882353,13097
Douglas,CO,86.49019607843137,60.85434173669468,8035
Douglas,MN,61.779411764705884,45.700980392156865,27041
Drew,AR,101.0,57.92156862745098,5043
DuPage,IL,157.01806588735388,101.73526315789474,17043
Dubois,IN,63.1536523929471,41.60591133004926,18037
Dubuque,IA,82.81755593803787,62.17555938037866,19061
Duchesne,UT,90.0,37.333333333333336,49013
Dukes,MA,61.0,41.529411764705884,25007
Dundy,NE,56.0,19.68,31057
Dunklin,MO,108.17821782178218,63.34983498349835,29069
Dunn,WI,40.4,32.07058823529412,55033
Dunn,ND,58.0,53.78,38025
Duplin,NC,90.66666666666667,60.4640522875817,37061
Durham,NC,127.06636500754148,86.18702865761689,37063
Dutchess,NY,151.74658573596358,118.55842185128984,36027
Duval,FL,129.28453850676073,95.34567901234568,12031
Duval,TX,90.0,50.254901960784316,48131
Dyer,TN,101.0,72.37908496732027,47045
Eagle,CO,42.27450980392157,35.90196078431372,8037
Early,GA,117.0,82.07843137254902,13099
East,LA,128.00267379679144,83.2379679144385,22033
East,LA,128.00267379679144,83.2379679144385,22035
East,LA,128.00267379679144,83.2379679144385,22037
East,LA,108.0,64.17647058823529,22033
East,LA,108.0,64.17647058823529,22035
East,LA,108.0,64.17647058823529,22037
East,LA,181.29605263157896,107.86842105263158,22033
East,LA,181.29605263157896,107.86842105263158,22035
East,LA,181.29605263157896,107.86842105263158,22037
Eastland,TX,80.5,36.78921568627451,48133
Eaton,MI,121.9438775510204,95.31862745098039,26045
Eau,WI,53.27042253521127,37.611267605633806,55035
Ector,TX,109.5016835016835,66.20538720538721,48135
Eddy,ND,62.490196078431374,52.470588235294116,38027
Eddy,NM,89.96875,52.208333333333336,35015
Edgar,IL,99.20915032679738,58.40522875816993,17045
Edgecombe,NC,106.2843137254902,72.73039215686275,37065
Edgefield,SC,120.0,97.13725490196079,45037
Edmonson,KY,74.0,59.431372549019606,21061
Edmunds,SD,38.99009900990099,31.653465346534652,46045
Edwards,IL,39.0,18.686274509803923,17047
Edwards,KS,42.0,22.333333333333332,20047
Effingham,GA,105.0,88.98039215686275,13103
Effingham,IL,107.16666666666667,53.11274509803921,17049
El,CA,73.70560747663552,54.074766355140184,6017
El,CO,89.15350877192982,66.54824561403508,8041
El,TX,116.35432330827068,72.23872180451127,48141
Elbert,GA,62.333333333333336,43.98692810457516,13105
Elk,PA,129.0,99.3921568627451,42047
Elkhart,IN,123.84772370486657,90.90288315629742,18039
Elko,NV,146.0,67.68627450980392,32007
Ellis,KS,70.33333333333333,52.50326797385621,20051
Ellis,OK,60.0,41.11764705882353,40045
Ellis,TX,127.76354679802955,77.48522167487685,48139
Ellsworth,KS,42.5,33.294117647058826,20053
Elmore,AL,105.2156862745098,77.75,1051
Elmore,ID,38.0,15.235294117647058,16039
Emanuel,GA,87.33333333333333,60.5359477124183,13107
Emery,UT,51.0,28.686274509803923,49015
Emmet,IA,66.67320261437908,36.26143790849673,19063
Emmet,MI,115.04950495049505,79.67326732673267,26047
Emmons,ND,55.0,38.8235294117647,38029
Emporia,VA,92.5,69.95098039215686,51595
Erath,TX,89.3202614379085,64.70588235294117,48143
Erie,OH,130.25,96.9656862745098,39043
Erie,PA,115.07564766839378,93.78020833333333,42049
Erie,NY,160.65933446136492,127.87084038353073,36029
Escambia,AL,114.5,89.20588235294117,1053
Escambia,FL,125.54057591623037,97.51047120418848,12033
Essex,MA,106.61649319455564,74.4755804643715,25009
Essex,NJ,150.26918604651163,95.1110465116279,34013
Essex,NY,97.33333333333333,84.86666666666666,36031
Essex,VA,60.0,50.90196078431372,51057
Estill,KY,88.0,72.33333333333333,21065
Etowah,AL,141.33333333333334,96.359477124183,1055
Evangeline,LA,105.03921568627452,73.65686274509804,22039
Evans,GA,78.0,46.294117647058826,13109
Fairbanks,AK,90.0,71.50980392156863,2090
Fairfax,VA,118.42528735632185,81.94745484400657,51059
Fairfax,VA,118.42528735632185,81.94745484400657,51600
Fairfax,VA,139.31,105.81,51059
Fairfax,VA,139.31,105.81,51600
Fairfield,CT,128.04289405684756,90.90025839793282,9001
Fairfield,OH,94.7935871743487,66.39920159680639,39045
Fairfield,SC,131.0,92.95098039215686,45039
Fall,SD,78.1470588235294,75.24509803921569,46047
Falls,TX,103.5,38.3235294117647,48145
Fannin,TX,107.817843866171,56.75836431226766,48147
Fannin,GA,101.0,63.15686274509804,13111
Faribault,MN,59.84313725490196,47.28431372549019,27043
Faulk,SD,42.0,36.31372549019608,46049
Faulkner,AR,110.0,75.49673202614379,5045
Fauquier,VA,121.5,95.08823529411765,51061
Fayette,OH,82.5,57.470588235294116,39047
Fayette,WV,70.66666666666667,62.03921568627451,54019
Fayette,TN,88.0,70.52941176470588,47047
Fayette,PA,95.14285714285714,74.95786516853933,42051
Fayette,KY,98.53627311522048,76.04654442877292,21067
Fayette,TX,101.58431372549019,57.4078431372549,48149
Fayette,IL,87.0,42.09803921568628,17051
Fayette,IA,61.4,40.26274509803922,19065
Fayette,GA,158.31372549019608,109.55882352941177,13113
Fayette,IN,87.23115577889448,57.13725490196079,18041
Fayette,AL,122.0,91.90196078431373,1057
Fentress,TN,140.0,89.76470588235294,47049
Fergus,MT,91.0,47.58169934640523,30027
Fillmore,MN,51.166666666666664,36.99673202614379,27045
Fillmore,NE,54.0,44.92156862745098,31059
Finney,KS,63.333333333333336,46.42156862745098,20055
Flagler,FL,120.0,92.11764705882354,12035
Flathead,MT,109.83921568627451,72.32941176470588,30029
Fleming,KY,96.74509803921569,65.31372549019608,21069
Florence,SC,99.22716049382716,74.4074074074074,45041
Florence,WI,64.0,44.94117647058823,55037
Floyd,GA,100.0,74.77310924369748,13115
Floyd,IA,56.0,41.99346405228758,19067
Floyd,IN,103.94654788418708,72.1523178807947,18043
Floyd,KY,88.5,68.24509803921569,21071
Floyd,TX,52.0,18.666666666666668,48153
Floyd,VA,88.0,72.94117647058823,51063
Fluvanna,VA,60.0,52.64705882352941,51065
Foard,TX,80.0,36.86274509803921,48155
Fond,WI,78.4828431372549,51.291666666666664,55039
Ford,IL,63.57254901960784,49.870588235294115,17053
Ford,KS,48.0,32.44881889763779,20057
Forest,PA,100.0,81.80392156862744,42053
Forest,WI,50.0,37.64705882352941,55041
Forrest,MS,74.63157894736842,59.67418546365915,28035
Forsyth,GA,118.5,84.74509803921569,13117
Forsyth,NC,104.42334739803094,73.46976090014064,37067
Fort,TX,97.15039577836411,56.76587301587302,48157
Foster,ND,64.0,53.1764705882353,38031
Fountain,IN,119.0,89.96078431372548,18045
Franklin,MS,60.0,44.450980392156865,28037
Franklin,NC,129.0,85.23529411764706,37069
Franklin,NY,97.5,85.82352941176471,36033
Franklin,OH,95.24112696670326,70.2238596491228,39049
Franklin,WA,108.0,54.68627450980392,53021
Franklin,TN,86.0,47.549019607843135,47051
Franklin,TX,95.0,30.215686274509803,48159
Franklin,VT,62.333333333333336,43.673202614379086,50011
Franklin,MO,102.1353711790393,59.10480349344978,29071
Franklin,PA,120.89519650655022,85.70305676855895,42055
Franklin,ME,45.509803921568626,34.78431372549019,23007
Franklin,VA,150.0,104.82352941176471,51067
Franklin,VA,150.0,104.82352941176471,51620
Franklin,LA,110.5,67.62745098039215,22041
Franklin,KY,100.0,74.94117647058823,21073
Franklin,KS,68.33333333333333,53.666666666666664,20059
Franklin,IN,100.0,33.07843137254902,18047
Franklin,IL,76.6,45.27058823529412,17055
Franklin,ID,35.0,29.32,16041
Franklin,IA,67.33333333333333,37.11764705882353,19069
Franklin,GA,100.0,78.94117647058823,13119
Franklin,FL,90.0,65.50980392156863,12037
Franklin,MA,106.7,81.52,25011
Franklin,AR,118.5,85.96078431372548,5047
Franklin,AL,65.0,49.55392156862745,1059
Franklin,VA,129.0,79.58823529411765,51067
Franklin,VA,129.0,79.58823529411765,51620
Frederick,VA,43.71523178807947,36.88079470198676,51069
Frederick,MD,118.58169934640523,80.74074074074075,24021
Freeborn,MN,75.0,51.69607843137255,27047
Freestone,TX,94.28476821192054,48.94701986754967,48161
Fremont,CO,74.0,59.388888888888886,8043
Fremont,IA,53.59574468085106,38.6063829787234,19071
Fremont,ID,38.0,26.764705882352942,16043
Fremont,WY,63.63333333333333,46.833333333333336,56013
Fresno,CA,95.4933586337761,71.57368753953195,6019
Frio,TX,143.0,113.3529411764706,48163
Fulton,PA,67.0,59.6078431372549,42057
Fulton,OH,77.23622047244095,59.59055118110236,39051
Fulton,NY,119.89542483660131,102.27450980392157,36035
Fulton,KY,60.0,38.13725490196079,21075
Fulton,AR,84.0,67.66666666666667,5049
Fulton,IL,80.82679738562092,52.86274509803921,17057
Fulton,GA,156.41067285382832,116.915313225058,13121
Fulton,IN,88.5,34.09803921568628,18049
Furnas,NE,29.0,24.754901960784313,31065
Gadsden,FL,118.0,96.19607843137256,12039
Gage,NE,73.0,58.06535947712418,31067
Gaines,TX,79.0,31.80392156862745,48165
Galax,VA,127.5,81.43137254901961,51640
Gallatin,MT,86.0,39.65686274509804,30031
Gallatin,KY,120.0,92.27450980392157,21077
Gallatin,IL,71.0,38.80392156862745,17059
Gallia,OH,86.33333333333333,65.80392156862744,39053
Galveston,TX,122.34825870646766,69.68219633943427,48167
Garden,NE,40.0,25.686274509803923,31069
Garfield,UT,21.0,15.549019607843137,49017
Garfield,CO,70.75,46.65686274509804,8045
Garfield,NE,64.0,57.0,31071
Garfield,OK,99.28695652173913,62.597101449275364,40047
Garland,AR,100.54048140043764,63.10503282275711,5051
Garrard,KY,96.0,84.2156862745098,21079
Garrett,MD,79.25,56.254901960784316,24023
Garvin,OK,95.35761589403974,39.9271523178808,40049
Gasconade,MO,109.53289473684211,58.4078947368421,29073
Gaston,NC,100.44111776447106,74.68862275449102,37071
Gates,NC,70.0,48.431372549019606,37073
Geary,KS,100.0,68.26530612244898,20061
Geauga,OH,93.16666666666667,69.75,39055
Gem,ID,58.47826086956522,31.141304347826086,16045
Genesee,NY,121.6470588235294,102.72058823529412,36037
Genesee,MI,113.01564537157758,71.98136645962732,26049
Geneva,AL,91.0,76.90196078431373,1061
Gentry,MO,70.0,47.35294117647059,29075
George,MS,59.5,37.81372549019608,28039
Georgetown,SC,85.14473684210526,70.25,45043
Gibson,IN,83.53233830845771,54.522167487684726,18051
Gibson,TN,96.10344827586206,61.55172413793103,47053
Gila,AZ,118.0,62.6078431372549,4007
Gilchrist,FL,100.5,76.66666666666667,12041
Giles,VA,120.0,102.3921568627451,51071
Giles,TN,84.0,55.69934640522876,47055
Gillespie,TX,96.75,49.28921568627451,48171
Gilmer,WV,65.0,55.21568627450981,54021
Gilmer,GA,72.0,61.46078431372549,13123
Glacier,MT,44.0,21.186274509803923,30035
Gladwin,MI,72.0,51.71568627450981,26051
Glascock,GA,104.0,63.372549019607845,13125
Glenn,CA,76.0,64.31372549019608,6021
Gloucester,NJ,143.22727272727272,103.1919191919192,34015
Gloucester,VA,118.0,85.95098039215686,51073
Glynn,GA,101.31889763779527,65.76377952755905,13127
Gogebic,MI,87.44,69.1,26053
Goliad,TX,90.0,37.23529411764706,48175
Gonzales,TX,106.0,68.68627450980392,48177
Goochland,VA,123.33333333333333,102.11111111111111,51075
Goodhue,MN,73.64670658682634,52.58682634730539,27049
Gooding,ID,43.03921568627451,30.784313725490197,16047
Gordon,GA,106.73529411764706,81.34313725490196,13129
Goshen,WY,103.0,72.94117647058823,56015
Gosper,NE,47.0,30.0,31073
Gove,KS,42.0,30.901960784313726,20063
Grady,GA,142.0,50.35294117647059,13131
Grady,OK,86.8,45.61176470588235,40051
Grafton,NH,96.87279151943463,82.13780918727915,33009
Graham,KS,36.0,31.45098039215686,20065
Graham,AZ,106.0,59.96078431372549,4009
Graham,NC,80.0,48.8235294117647,37075
Grainger,TN,122.0,86.50980392156863,47057
Grand,UT,36.0,30.58823529411765,49019
Grand,ND,108.1470588235294,91.6470588235294,38035
Grand,MI,135.0735294117647,100.43137254901961,26055
Grant,WV,110.0,85.41176470588235,54023
Grant,WI,73.875,46.28431372549019,55043
Grant,WA,59.75,42.700980392156865,53025
Grant,SD,61.833333333333336,46.53921568627451,46051
Grant,OK,68.0,35.18627450980392,40053
Grant,NM,150.0,94.67647058823529,35017
Grant,OR,40.0,13.745098039215685,41023
Grant,LA,121.5,64.45098039215686,22043
Grant,KY,95.0,86.11764705882354,21081
Grant,KS,60.0,35.88235294117647,20067
Grant,IN,126.8671096345515,65.83333333333333,18053
Grant,AR,121.0,61.27450980392157,5053
Grant,MN,45.0,34.78431372549019,27051
Granville,NC,80.0,52.68,37077
Gratiot,MI,85.38461538461539,63.67132867132867,26057
Graves,KY,82.89403973509934,64.03973509933775,21083
Gray,KS,42.0,37.911764705882355,20069
Gray,TX,90.66666666666667,40.77124183006536,48179
Grays,WA,99.11111111111111,63.88235294117647,53027
Grayson,VA,120.0,94.45098039215686,51077
Grayson,TX,115.30479452054794,61.678082191780824,48181
Grayson,KY,71.5049504950495,63.95049504950495,21085
Greeley,KS,32.0,25.03921568627451,20071
Greeley,NE,26.0,20.058823529411764,31077
Green,KY,113.0,87.15686274509804,21087
Green,WI,85.81879194630872,59.95302013422819,55045
Green,WI,85.81879194630872,59.95302013422819,55047
Green,WI,43.5,33.53921568627451,55045
Green,WI,43.5,33.53921568627451,55047
Greenbrier,WV,74.5,58.56372549019608,54025
Greene,VA,90.0,70.05882352941177,51079
Greene,TN,120.14778325123153,75.56650246305419,47059
Greene,PA,115.87254901960785,98.49019607843137,42059
Greene,OH,83.25,56.955882352941174,39057
Greene,NY,128.0,109.24509803921569,36039
Greene,NC,115.0,80.33333333333333,37079
Greene,MS,60.0,47.15686274509804,28041
Greene,IL,119.0,88.23529411764706,17061
Greene,IN,104.5,65.68627450980392,18055
Greene,IA,49.0,39.990196078431374,19073
Greene,GA,50.0,38.509803921568626,13133
Greene,AR,155.0,109.3921568627451,5055
Greene,AL,72.0,36.90196078431372,1063
Greene,MO,106.35038363171356,77.04092071611254,29077
Greenup,KY,89.69736842105263,72.32236842105263,21089
Greenville,SC,105.61708860759494,86.39451476793249,45045
Greenwood,SC,83.0,68.28921568627452,45047
Greenwood,KS,60.0,40.509803921568626,20073
Greer,OK,140.0,41.92156862745098,40055
Gregg,TX,115.08623298033282,71.54009077155824,48183
Gregory,SD,42.0,28.333333333333332,46053
Grenada,MS,113.0,78.68627450980392,28043
Griggs,ND,41.0,34.1764705882353,38039
Grimes,TX,140.5392156862745,59.509803921568626,48185
Grundy,IA,45.25,34.318627450980394,19075
Grundy,IL,134.3921568627451,77.7156862745098,17063
Grundy,MO,122.64,67.53,29079
Grundy,TN,150.0,77.54901960784314,47061
Guadalupe,TX,120.54074074074074,77.24691358024691,48187
Guernsey,OH,74.33333333333333,46.87581699346405,39059
Guilford,NC,110.75607476635514,80.60093457943925,37081
Gulf,FL,120.0,63.568627450980394,12045
Gunnison,CO,50.0,42.294117647058826,8051
Guthrie,IA,52.0,39.8921568627451,19077
Gwinnett,GA,108.79272727272728,69.5690909090909,13135
Haakon,SD,30.0,27.294117647058822,46055
Habersham,GA,116.0,75.70588235294117,13137
Hale,AL,82.87254901960785,61.431372549019606,1065
Hale,TX,99.5,60.950980392156865,48189
Halifax,VA,168.0,116.68627450980392,51083
Halifax,NC,70.19607843137256,52.161764705882355,37083
Hall,GA,109.21176470588236,80.27058823529411,13139
Hall,NE,75.07058823529412,45.34117647058824,31079
Hall,TX,72.0,35.372549019607845,48191
Hamblen,TN,161.0,112.3529411764706,47063
Hamilton,TN,155.27272727272728,101.25490196078431,47065
Hamilton,TX,80.45751633986929,36.666666666666664,48193
Hamilton,OH,100.46721778791334,71.29202279202279,39061
Hamilton,NE,55.92079207920792,41.17821782178218,31081
Hamilton,IL,51.5,27.225490196078432,17065
Hamilton,IA,70.21710526315789,47.2828947368421,19079
Hamilton,FL,60.0,55.34,12047
Hamilton,IN,92.2673860911271,68.13491124260355,18057
Hamlin,SD,61.5,42.18627450980392,46057
Hampden,MA,115.84630477436232,77.28842380640941,25013
Hampshire,MA,130.6013071895425,89.95424836601308,25015
Hampshire,WV,46.0,42.1078431372549,54027
Hampton,SC,102.82352941176471,60.254901960784316,45049
Hampton,VA,116.5,79.16666666666667,51650
Hancock,OH,87.62376237623762,70.94754098360656,39063
Hancock,MS,102.0,75.48039215686275,28045
Hancock,WV,76.66666666666667,60.928104575163395,54029
Hancock,TN,50.0,31.06,47067
Hancock,ME,51.0,40.61437908496732,23009
Hancock,IL,100.65789473684211,26.61842105263158,17067
Hancock,IN,95.39112903225806,65.52,18059
Hancock,GA,75.72549019607843,45.411764705882355,13141
Hancock,KY,45.0,36.8235294117647,21091
Hancock,IA,54.333333333333336,38.98692810457516,19081
Hand,SD,50.64705882352941,39.78431372549019,46059
Hanover,VA,135.25,100.29901960784314,51085
Hansford,TX,84.0,50.88235294117647,48195
Haralson,GA,80.33333333333333,66.61437908496733,13143
Hardee,FL,52.0,36.705882352941174,12049
Hardeman,TN,134.0,106.0,47069
Hardin,TX,96.71372549019608,70.56470588235294,48199
Hardin,TN,68.46825396825396,51.361111111111114,47071
Hardin,OH,84.0657894736842,60.5328947368421,39065
Hardin,KY,87.81741573033707,60.79494382022472,21093
Hardin,IL,62.0,37.15686274509804,17069
Hardin,IA,57.28947368421053,38.45065789473684,19083
Hardy,WV,60.0,50.96078431372549,54031
Harford,MD,136.16666666666666,85.36601307189542,24025
Harlan,KY,114.0,95.97058823529412,21095
Harlan,NE,53.0,35.96078431372549,31083
Harmon,OK,92.0,38.19607843137255,40057
Harnett,NC,126.32549019607843,88.23529411764706,37085
Harper,OK,76.0,26.862745098039216,40059
Harper,KS,42.98039215686274,34.46078431372549,20077
Harris,GA,101.0,80.3921568627451,13145
Harris,TX,116.52946841294299,68.32261171032357,48201
Harrison,WV,83.16666666666667,67.95424836601308,54033
Harrison,OH,68.66666666666667,56.745098039215684,39067
Harrison,MS,123.73714285714286,90.50285714285714,28047
Harrison,TX,140.66666666666666,65.87581699346406,48203
Harrison,KY,59.182432432432435,52.833333333333336,21097
Harrison,IN,94.72,81.19736842105263,18061
Harrison,IA,72.11764705882354,48.46568627450981,19085
Harrison,MO,92.0,58.76470588235294,29081
Harrisonburg,VA,127.0,101.45098039215686,51660
Hart,GA,104.0,69.7843137254902,13147
Hart,KY,104.0,83.90196078431373,21099
Hartford,CT,127.37030941408821,94.13001974983541,9003
Harvey,KS,73.53731343283582,61.644776119402984,20079
Haskell,TX,68.0,42.490196078431374,48207
Haskell,KS,44.0,44.78431372549019,20081
Haskell,OK,80.0,48.254901960784316,40061
Hawaii,HI,107.56198347107438,84.41873278236915,15001
Hawkins,TN,137.0,83.20588235294117,47073
Hays,TX,121.0359477124183,75.45424836601308,48209
Haywood,TN,115.0,70.15686274509804,47075
Haywood,NC,98.6,72.03137254901961,37087
Heard,GA,78.0,63.31372549019608,13149
Hemphill,TX,55.291666666666664,29.770833333333332,48211
Hempstead,AR,128.0,91.78,5057
Henderson,TX,100.20261437908496,56.28104575163399,48213
Henderson,IL,58.0,32.15686274509804,17071
Henderson,KY,156.0,113.43137254901961,21101
